,original,mapped
123,Medullary thyroid carcinoma,cancer
124,Thyroid gland carcinoma,thyroid gland cancer
125,"Thyroid carcinoma, sporadic medullary",thyroid gland cancer
126,Papillary thyroid carcinoma,thyroid gland cancer
127,"Prostate cancer, hereditary, 13",prostate cancer
128,Hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1,colon cancer
129,Gastric cancer susceptibility after h. pylori infection,hematological cancer
130,Hereditary leiomyomatosis and renal cell cancer,skin cancer
131,Cancer progression and tumor cell motility,kidney cancer
132,"SQUAMOUS CELL CARCINOMA, BURN SCAR-RELATED, SOMATIC",colon cancer
133,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, somatic",lung cancer
134,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, somatic",lung cancer
135,EGFR-related lung cancer,lung cancer
136,"Nonsmall cell lung cancer, resistance to tyrosine kinase inhibitor in",lung cancer
137,"Breast cancer, post-chemotherapy poor survival in",breast cancer
138,"Esophageal carcinoma, somatic",esophageal cancer
139,"Colorectal cancer, hereditary nonpolyposis, type 2",colorectal cancer
140,"Colorectal cancer, sporadic, susceptibility to",colorectal cancer
141,Lung cancer susceptibility 2,lung cancer
142,"Pancreatic cancer, susceptibility to, 4",pancreatic cancer
143,Invasive medullary breast carcinoma,breast cancer
144,Ovarian cancer,hereditary breast ovarian cancer syndrome
145,"Pancreatic cancer, susceptibility to",hereditary breast ovarian cancer syndrome
146,"Aerodigestive tract cancer, squamous cell, alcohol-related, protection against",cancer
147,"Esophageal cancer, alcohol-related, susceptibility to",esophageal cancer
148,Barrett esophagus/esophageal adenocarcinoma,esophageal cancer
149,Familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome,cancer
150,"Breast-ovarian cancer, familial, susceptibility to, 4",breast cancer
151,Palmoplantar keratoderma-esophageal carcinoma syndrome,esophageal cancer
152,"Basal cell carcinoma, susceptibility to, 7",head and neck cancer
153,bilateral breast cancer,breast cancer
154,Infiltrating duct carcinoma of breast,breast cancer
155,Ovarian serous surface papillary adenocarcinoma,hereditary breast ovarian cancer syndrome
156,Cancer of the pancreas,pancreatic cancer
157,Invasive lobular breast carcinoma,breast cancer
158,Metastatic Prostate Small Cell Carcinoma,prostate cancer
159,"Colorectal cancer, susceptibility to, 10",colorectal cancer
160,"Colorectal cancer, susceptibility to, 12",colorectal cancer
161,"Colorectal cancer, non-polyposis",colorectal cancer
162,Bile duct cancer,stomach cancer
163,Carcinoma of male breast,hereditary breast ovarian cancer syndrome
164,Breast and colorectal cancer,hereditary breast ovarian cancer syndrome
165,"Colorectal cancer, early onset",colorectal cancer
166,Sigmoid colon cancer,colon cancer
167,Hereditary nonpolyposis colorectal carcinoma,colorectal cancer
168,Hereditary cancer,cancer
169,Gastric adenocarcinoma and proximal polyposis of the stomach,stomach cancer
170,Familial pancreatic carcinoma,pancreatic cancer
171,Triple-Negative Breast Cancer Finding,breast cancer
172,"Prostate cancer, hereditary, 9",prostate cancer
173,Familial prostate carcinoma,prostate cancer
174,Triple-negative breast cancer,breast cancer
175,Hereditary site-specific ovarian cancer syndrome,ovarian cancer
176,Breast and Ovarian Cancer Susceptibility,breast cancer
177,Triple-negative breast carcinoma,breast cancer
178,Intrahepatic cholangiocarcinoma,liver cancer
179,Rectum adenocarcinoma,cancer
180,Bilateral breast carcinoma,breast cancer
181,Progeroid features-hepatocellular carcinoma predisposition syndrome,breast cancer
182,spino-cellular carcinoma,cancer
183,"CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA",breast cancer
184,Basal cell carcinoma,skin cancer
185,Hereditary breast cancer,breast cancer
186,Sessile serrated polyposis cancer syndrome,cancer
187,Granular cell cancer,cancer
188,"Thyroid cancer, nonmedullary, 1",thyroid gland cancer
189,"Thyroid cancer, nonmedullary, 4",thyroid gland cancer
190,Hereditary thrombocytopenia and hematologic cancer predisposition syndrome,cancer
191,APC-mutation negative familial colorectal cancer,urinary bladder cancer
192,BAP1 Cancer Syndrome,breast cancer
193,Hereditary renal cell carcinoma,cancer
194,Duodenal adenocarcinoma,cancer
195,Invasive breast carcinoma,hereditary breast ovarian cancer syndrome
196,BRIP1-associated familial cancer predisposition,hereditary breast ovarian cancer syndrome
197,"Nasopharyngeal carcinoma, susceptibility to, 3",cancer
198,Familial breast and ovarian cancer,breast cancer
199,"Thyroid cancer, nonmedullary, 5",thyroid gland cancer
200,Squamous cell carcinoma,adrenal cortex carcinoma
201,Esophageal squamous cell carcinoma,esophageal cancer
202,Trabecular adenocarcinoma,urinary bladder cancer
203,Endometrioid adenocarcinoma,liver cancer
204,HER2 positive breast carcinoma,cancer
205,Ovarian Cancers,ovarian cancer
206,Head and neck cancer,head and neck cancer
207,CUP (carcinoma unknown primary) syndrome,cancer
208,Hereditary papillary renal cell carcinoma,kidney cancer
209,Colorectal carcinoma,colorectal cancer
210,Family history of cancer,cancer
211,Carcinoma of head of pancreas,cancer
212,"Small cell carcinoma of the ovary, hypercalcemic type",colon cancer
213,Hereditary renal cancer,cancer
214,Cholangiocarcinoma,hereditary breast ovarian cancer syndrome
215,"Pancreatic cancer, susceptibility to, 5",pancreatic cancer
216,Renal transitional cell carcinoma,kidney cancer
217,Colorectal cancer susceptibility 12,colorectal cancer
218,Familial ovarian carcinoma,ovarian cancer
219,Multifocal breast carcinoma,cancer
220,Primary peritoneal carcinoma,peritoneal cancer
221,"Renal cell carcinoma, Xp11-associated",kidney cancer
222,ATM-related cancer susceptibility,cancer
223,Ovarian papillary adenocarcinoma,hereditary breast ovarian cancer syndrome
