,Disease Name,DOID,UBERON,Exact Synonyms
43,"diphenylmethane-4,4'-diisocyanate allergic asthma",0040042,,['allergic asthma to mdi']
44,toluene meta-diisocyanate allergic asthma,0040043,,['allergic asthma to tdi']
45,methyl isocyanate allergic asthma,0040044,,['allergic asthma to mic']
46,nickel allergic asthma,0040045,,['allergic asthma to ni']
47,nickel allergic contact dermatitis,0040046,,['allergic contact dermatitis to ni']
48,trimellitic anhydride allergic asthma,0040047,,['allergic asthma to tma']
49,phthalic anhydride allergic asthma,0040048,,[]
50,maleic anhydride allergic asthma,0040049,,['allergic asthma to ma']
51,tetrachlorophthalic anhydride allergic asthma,0040050,,[]
52,hexahydrophthalic anhydride allergic asthma,0040051,,['allergic asthma to hhpa']
53,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",0040052,,['allergic contact dermatitis to mdi']
54,cobalt allergic contact dermatitis,0040053,,['allergic contact dermatitis to co']
55,cobalt allergic asthma,0040054,,['co allergic asthma']
56,palladium allergic contact dermatitis,0040055,,['allergic contact dermatitis to pd']
57,chromium allergic contact dermatitis,0040056,,[]
58,benzoic acid allergic contact dermatitis,0040057,,['allergic contact dermatitis to benzoate']
59,"1,4-phenylenediamine allergic contact dermatitis",0040058,,"['allergic contact dermatitis to ppd', 'allergic contact dermatitis to p-phenylenediamine']"
60,potassium dichromate allergic contact dermatitis,0040059,,[]
61,ketoprofen photoallergic dermatitis,0040060,,['photoallergic dermatitis to orudis']
62,remazole black respiratory allergy,0040061,,['respiratory allergy to reactive black 5']
63,chloramine T respiratory allergy,0040062,,"['respiratory allergy to chloraseptin', 'respiratory allergy to chlorazol', 'respiratory allergy to trichlorol']"
64,4-vinylcyclohexene dioxide respiratory allergy,0040063,,['respiratory allergy to vinyl cyclohexene diepoxide']
65,carvone allergic contact dermatitis,0040064,,['allergic contact dermatitis to levo-carvone']
66,quinidine allergy,0040065,,['kinidin allergy']
67,melphalan allergy,0040066,,['alkeran allergy']
68,neomycin sulfate allergic contact dermatitis,0040067,,['allergic contact dermatitis to neomycin sulphate']
69,4-tert-butylphenol allergic contact dermatitis,0040068,,"['allergic contact dermatitis to ptbp', 'allergic contact dermatitis to butylphen']"
70,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",0040069,,"['allergic contact dermatitis to dncb', 'allergic contact dermatitis to dinitrochlorobenzene']"
71,co-trimoxazole allergy,0040070,,"['bactrim allergy', 'tmp/smx allergy', 'cotrimoxazol allergy', 'trimethoprim/sulfamethoxazole allergy']"
72,sodium aurothiomalate allergy,0040071,,['gold sodium thiomalate allergy']
73,parthenolide allergic contact dermatitis,0040072,,['allergic contact dermatitis to feverfew']
74,disodium cromoglycate allergy,0040073,,['dscg allergy']
75,formaldehyde allergic contact dermatitis,0040074,,['allergic contact dermatitis to formalin']
76,benzo[d]isothiazol-3-one allergic contact dermatitis,0040075,,"['allergic contact dermatitis to bit', 'allergic contact dermatitis to benzisothiazolone']"
77,phthalyl group allergy,0040076,,['phthalyl allergy']
78,alcuronium bromide allergy,0040077,,[]
79,gallamine allergy,0040078,,[]
80,"2,4-dinitrophenyl allergic contact dermatitis",0040079,,['allergic contact dermatitis to dnp']
81,patent blue V allergy,0040080,,[]
82,acid anhydride respiratory allergy,0040081,,[]
83,oxirane allergy,0040082,,"['eto allergy', 'ethylene oxide allergy']"
84,Chlamydia pneumonia,0040083,,[]
85,Streptococcus pneumonia,0040084,,[]
86,bacterial sepsis,0040085,,[]
87,Polyomavirus-associated nephropathy,0040086,0002113,"['pvan', 'polyomavirus associated nephropathy']"
88,autoimmune peripheral neuropathy,0040087,0000010,[]
89,autoimmune uveitis,0040088,0001768,[]
90,autoimmune optic neuritis,0040089,0004904,[]
91,autoimmune gastritis,0040090,0000945,[]
92,autoimmune pancreatitis,0040091,0001264,[]
93,juvenile ankylosing spondylitis,0040092,,[]
94,drug-induced lupus erythematosus,0040093,,"['dil', 'dile']"
95,autoimmune glomerulonephritis,0040094,0000074,[]
96,autoimmune cardiomyopathy,0040095,0000948,[]
97,autoimmune atherosclerosis,0040096,0001981,[]
98,autoimmune vasculitis,0040097,0001981,[]
99,pemphigus gestationis,0040098,0002097,[]
100,livedoid vasculitis,0040099,,['livedoid vasculopathy']
101,Hirata disease,0040100,,['insulin autoimmune syndrome']
102,"N,N'-diphenylthiourea allergic contact dermatitis",0040101,,['neoprene allergy']
103,"N,N'-diethylthiourea allergic contact dermatitis",0040102,,['neoprene allergy']
104,cefotiam allergy,0040103,,[]
105,"toluene 2,4-diisocyanate allergic asthma",0040104,,[]
106,obsolete Actinomadura madurae infectious disease,0050001,,[]
107,obsolete Actinomadura pelletieri infectious disease,0050002,,[]
108,obsolete Streptomyces somaliensis infectious disease,0050003,,[]
109,seminal vesicle acute gonorrhea,0050004,,[]
110,obsolete cutaneous strongyloidiasis,0050007,,[]
111,obsolete intestinal strongyloidiasis,0050009,,[]
112,obsolete Mansonella perstans infectious disease,0050010,,[]
113,obsolete Mansonella streptocerca infectious disease,0050011,,[]
114,chikungunya,0050012,,['chikungunya fever']
115,obsolete carbohydrate metabolism disease,0050013,,[]
116,obsolete epizootic hemorrhagic disease,0050014,,[]
117,obsolete Rocio virus encephalitis,0050015,,[]
118,obsolete Ehrlichia ewingii ehrlichiosis,0050024,,[]
119,human granulocytic anaplasmosis,0050025,,['human granulocytic ehrlichiosis']
120,human monocytic ehrlichiosis,0050026,,[]
121,mineral metabolism disease,0050032,,[]
122,African tick-bite fever,0050035,,"['rickettsia africae spotted fever', 'south african tick-bite fever']"
123,Astrakhan spotted fever,0050041,,[]
124,Indian tick typhus,0050042,,[]
125,Israeli tick typhus,0050043,,[]
126,Far Eastern spotted fever,0050046,,['rickettsia heilongjiangensis spotted fever']
127,Flinders Island spotted fever,0050047,,['thai tick typhus']
128,Japanese spotted fever,0050050,,"['rickettsia japonica spotted fever', 'oriental spotted fever']"
129,Rickettsia parkeri spotted fever,0050051,,['maculatum infection']
130,Rocky Mountain spotted fever,0050052,,['tick typhus']
131,obsolete Rickettsia honei spotted fever,0050053,,[]
132,oropharyngeal anthrax,0050059,,[]
133,erysipeloid,0050061,,[]
134,obsolete abortive plague,0050063,,[]
135,obsolete cutaneous listeriosis,0050065,,[]
136,obsolete Listeria meningoencephalitis,0050066,,[]
137,obsolete Listeria septicaemia,0050067,,[]
138,obsolete pestis minor,0050068,,[]
139,obsolete Yersinia pestis infectious disease,0050069,,[]
140,obsolete plague meningitis,0050070,,[]
141,adiaspiromycosis,0050072,,[]
142,invasive aspergillosis,0050073,0002048,[]
143,obsolete tonsillar aspergillosis,0050074,,[]
144,obsolete pulmonary blastomycosis,0050075,,[]
145,obsolete cervix tuberculosis,0050078,,[]
146,obsolete niacin deficiency,0050079,,[]
147,obsolete iodine deficiency,0050080,,[]
148,obsolete hepatic Torque teno virus infectious disease,0050082,,"['tt virus liver infection', 'transfussion-transmitted virus liver infection']"
149,Keshan disease,0050083,,[]
150,obsolete rhinotracheitis,0050084,,"['feline viral rhinotracheitis', 'feline coryza', 'feline influenza']"
151,obsolete entomophthoromycosis,0050085,,[]
152,obsolete cutaneous mucormycosis,0050086,,[]
153,obsolete gastrointestinal mucormycosis,0050088,,[]
154,obsolete pulmonary mucormycosis,0050089,,[]
155,obsolete rhinocerebral mucormycosis,0050090,,[]
156,obsolete disseminated paracoccidioidomycosis,0050091,,[]
157,obsolete pulmonary paracoccidioidomycosis,0050092,,[]
158,obsolete disseminated sporotrichosis,0050093,,[]
159,obsolete lymphocutaneous sporotrichosis,0050094,,[]
160,obsolete pulmonary sporotrichosis,0050095,,[]
161,tinea barbae,0050096,0000014,['dermatophytosis of beard']
162,ectothrix infectious disease,0050097,0001037,[]
163,obsolete Microsporum audouinii tinea capitis,0050098,,[]
164,obsolete Microsporum canis tinea capitis,0050099,,[]
165,obsolete Microsporum distortum tinea capitis,0050100,,[]
166,obsolete Microsporum ferrugineum tinea capitis,0050101,,[]
167,obsolete Microsporum gypseum tinea capitis,0050102,,[]
168,obsolete Microsporum nanum tinea capitis,0050103,,[]
169,obsolete Trichophyton verrucosum tinea capitis,0050104,,[]
170,endothrix infectious disease,0050105,0001037,[]
171,obsolete Trichophyton soudanense tinea capitis,0050106,,[]
172,obsolete Trichophyton tonsurans tinea capitis,0050107,,[]
173,obsolete Trichophyton violaceum tinea capitis,0050108,,[]
174,obsolete Trichophyton schoenleinii tinea capitis,0050110,,[]
175,obsolete Microsporum fulvum tinea capitis,0050111,,[]
176,obsolete Trichophyton megninii tinea capitis,0050112,,[]
177,obsolete Trichophyton equinum tinea capitis,0050113,,[]
178,obsolete Trichophyton yaoundei tinea capitis,0050115,,[]
179,tinea imbricata,0050116,,[]
180,disease by infectious agent,0050117,,['infectious disease']
181,La Crosse encephalitis,0050118,0000955,"['california encephalitis', 'california virus encephalitis', 'neuroinvasive california encephalitis virus infection']"
182,obsolete West Nile virus neurological syndrome,0050119,,"['wnnd', 'wnns', 'west nile neuroinvasive disease']"
183,hemophagocytic lymphohistiocytosis,0050120,,['haemophagocytic syndrome']
184,obsolete tuberculous encephalitis,0050123,,[]
185,dengue shock syndrome,0050125,,['dss']
186,obsolete Tahyna virus encephalitis,0050126,,['valtice fever']
187,sinusitis,0050127,,[]
188,secretory diarrhea,0050129,,[]
189,osmotic diarrhea,0050130,,[]
190,motility-related diarrhea,0050131,,[]
191,inflammatory diarrhea,0050132,,[]
192,superficial mycosis,0050133,,"['steroid-modified tinea infection', 'piedra']"
193,cutaneous mycosis,0050134,,[]
194,subcutaneous mycosis,0050135,,[]
195,systemic mycosis,0050136,,[]
196,podoconiosis,0050138,,[]
197,obsolete Opisthorchis felineus infectious disease,0050139,,[]
198,acute diarrhea,0050140,,[]
199,intestinal botulism,0050141,,[]
200,asymptomatic dengue,0050143,,[]
201,Kartagener syndrome,0050144,,"[""kartagener's syndrome""]"
202,adenoiditis,0050145,,['chronic adenoiditis']
203,otomycosis,0050147,,['singapore ear']
204,laryngotracheitis,0050148,,[]
205,Pontiac fever,0050150,,[]
206,obsolete tracheobronchial tuberculosis,0050151,,[]
207,aspiration pneumonia,0050152,,[]
208,pulmonary aspergilloma,0050153,0002048,[]
209,obsolete mycoplasmal pneumonia,0050154,,[]
210,sensory system disease,0050155,0001032,[]
211,idiopathic pulmonary fibrosis,0050156,0002048,"['fibrocystic pulmonary dysplasia', 'idiopathic pulmonary fibrosis, familial', 'cryptogenic fibrosing alveolitis']"
212,cryptogenic organizing pneumonia,0050157,,"['boop', 'cryptogenic organising pneumonitis', 'cryptogenic organizing pneumonitis', 'bronchiolitis obliterans organising pneumonia', 'bronchiolitis obliterans organizing pneumonia', 'cryptogenic organising pneumonia', 'idiopathic bronchiolitis obliterans with organising pneumonia', 'idiopathic bronchiolitis obliterans with organizing pneumonia']"
213,desquamative interstitial pneumonia,0050158,,"['rbild', 'familial desquamative interstitial pneumonitis', 'respiratory bronchiolitis-associated interstitial lung disease']"
214,lymphoid interstitial pneumonia,0050159,,[]
215,inhalation anthrax,0050160,,"['pulmonary anthrax', 'respiratory anthrax', ""wool-sorters' disease"", ""woolsorters' disease""]"
216,lower respiratory tract disease,0050161,0001558,[]
217,obsolete influenza encephalopathy,0050162,,[]
218,obsolete influenza myocarditis,0050163,,[]
219,obsolete influenza myositis,0050164,,[]
220,obsolete tuberculous mesenteric gland,0050165,,[]
221,tuberculous salpingitis,0050166,0003889,[]
222,autoimmune polyendocrine syndrome type 1,0050167,,"['autoimmune polyglandular syndrome i', 'whitaker syndrome', 'autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy']"
223,autoimmune polyendocrine syndrome type 2,0050168,,['schmidt syndrome']
224,cutaneous lupus erythematosus,0050169,0000014,[]
225,obsolete Jamestown Canyon encephalitis,0050170,,[]
226,obsolete snowshoe hare encephalitis,0050171,,[]
227,obsolete trivittatus encephalitis,0050172,,[]
228,obsolete inkoo encephalitis,0050173,,[]
229,Kunjin encephalitis,0050174,,[]
230,tick-borne encephalitis,0050175,,"['central european encephalitis', 'far eastern tbe', 'russian spring-summer encephalitis', 'siberian tick-borne encephalitis', 'taiga encephalitis', 'western european tick-borne encephalitis', 'west-siberian encephalitis']"
231,monogenic disease,0050177,,[]
232,obsolete complex genetic disease,0050178,,[]
233,Powassan encephalitis,0050179,,[]
234,obsolete Colorado tick fever encephalitis,0050180,,[]
235,obsolete Herpes simplex virus encephalitis,0050181,,[]
236,obsolete Varicella-zoster virus encephalitis,0050182,,"['herpes zoster encephalitis', 'postchickenpox encephalitis', 'varicella zoster encephalitis', 'postvaricella encephalitis']"
237,obsolete Epstein-Barr virus encephalitis,0050183,,[]
238,obsolete Measles virus encephalitis,0050184,,"['post measles encephalitis (disorder)', 'post-measles encephalitis', 'postmeasles encephalitis']"
239,erythema multiforme,0050185,,[]
240,obsolete Cytomegalovirus encephalitis,0050186,,[]
241,obsolete Rubella virus encephalitis,0050187,,[]
242,obsolete coxsackievirus encephalitis,0050188,,[]
243,obsolete polioencephalitis,0050189,,[]
244,obsolete adenovirus encephalitis,0050190,,[]
245,obsolete influenza virus encephalitis,0050191,,[]
246,Nipah virus encephalitis,0050192,,[]
247,obsolete Lymphocytic choriomeningitis virus encephalitis,0050193,,[]
248,Argentine hemorrhagic fever,0050194,,[]
249,Bolivian hemorrhagic fever,0050195,,[]
250,Venezuelan hemorrhagic fever,0050196,,[]
251,Brazilian hemorrhagic fever,0050197,,[]
252,Chapare hemorrhagic fever,0050198,,[]
253,Whitewater Arroyo hemorrhagic fever,0050199,,[]
254,Korean hemorrhagic fever,0050200,,[]
255,nephropathia epidemica,0050201,,[]
256,lujo hemorrhagic fever,0050202,,[]
257,obsolete Cytomegalovirus hepatitis,0050203,,[]
258,Epstein-Barr virus hepatitis,0050204,,[]
259,obsolete Herpes simplex virus hepatitis,0050205,,[]
260,obsolete adenovirus hepatitis,0050206,,[]
261,obsolete Rubella virus hepatitis,0050207,,[]
262,obsolete yellow fever hepatitis,0050208,,[]
263,obsolete Measles virus hepatitis,0050209,,[]
264,obsolete Varicella-zoster virus hepatitis,0050210,,[]
265,swine influenza,0050211,,[]
266,obsolete Campylobacter jejuni gastroenteritis,0050212,,['campylobacter gastroenteritis']
267,obsolete Vibrio gastroenteritis,0050213,,[]
268,Lambert-Eaton myasthenic syndrome,0050214,,"['eaton-lambert syndrome', 'lems', 'lambert-eaton syndrome']"
269,obsolete Staphylococcus gastroenteritis,0050215,,['staphylococcus aureus gastroenteritis']
270,obsolete Bacillus cereus gastroenteritis,0050216,,[]
271,obsolete Sapovirus gastroenteritis,0050217,,[]
272,polycystic echinococcosis,0050218,0002107,"['human polycystic hydatid disease', 'neotropical echinococcosis']"
273,obsolete Hepeviridae infectious disease,0050219,,[]
274,obsolete Coxiella burnetii pneumonia,0050220,,['q fever pneumonia']
275,obsolete Coxiella burnetii hepatitis,0050221,,['q fever hepatitis']
276,selective IgM deficiency disease,0050222,,[]
277,obsolete candidal gastritis,0050223,,[]
278,obsolete Helicobacter heilmannii infectious disease,0050224,,[]
279,obsolete Histoplasma capsulatum gastritis,0050225,,[]
280,obsolete Morganella morganii intestinal infectious disease,0050226,,[]
281,obsolete Vibrio cholerae O139 cholera,0050227,,[]
282,obsolete amebic dysentery,0050228,,"['entamoeba histolytica dysentery', 'amebic dysentery', 'amoebic dysentery']"
283,obsolete Escherichia coli dysentery,0050229,,[]
284,obsolete intestinal capillariasis,0050230,,[]
285,obsolete hepatic capillariasis,0050231,,[]
286,obsolete pulmonary capillariasis,0050232,,[]
287,obsolete Balamuthia mandrillaris infectious disease,0050233,,[]
288,obsolete Acanthamoeba infectious disease,0050234,,['free-living ameba infectious disease']
289,obsolete Alveolata infectious disease,0050235,,[]
290,obsolete Heterolobosea infectious disease,0050236,,[]
291,obsolete Euglenozoa infectious disease,0050237,,[]
292,obsolete Parabasalia infectious disease,0050238,,[]
293,obsolete Fornicata infectious disease,0050239,,[]
294,obsolete Trichomonadida infectious disease,0050240,,[]
295,obsolete Tritrichomonadida infectious disease,0050241,,[]
296,primary amebic meningoencephalitis,0050242,0001017,['naegleria fowleri infection']
297,obsolete Apicomplexa infectious disease,0050243,,[]
298,obsolete Coccidia infectious disease,0050244,,[]
299,obsolete Aconoidasida infectious disease,0050245,,[]
300,granulomatous amebic encephalitis,0050246,0000955,"['acanthamoeba encephalitis', 'acanthamoeba granulomatous encephalitis', 'granulomatous amebic encephalitis due to acanthamoeba', 'granulomatous amoebic encephalitis']"
301,obsolete parasitic stramenopiles infectious disease,0050247,,[]
302,obsolete Brugia timori filariasis,0050249,,[]
303,philophthalmiasis,0050250,0000970,[]
304,coenurosis,0050251,0000014,[]
305,obsolete Dipylidium caninum infectious disease,0050252,,[]
306,mesocestoidiasis,0050253,,[]
307,acanthocephaliasis,0050254,,[]
308,obsolete Uncinaria stenocephala infectious disease,0050255,,[]
309,angiostrongyliasis,0050256,0000160,[]
310,obsolete Angiostrongylus cantonensis infectious disease,0050257,,[]
311,obsolete Angiostrongylus costaricensis infectious disease,0050258,,[]
312,baylisascariasis,0050259,0000160,[]
313,dioctophymiasis,0050260,0000014,[]
314,thelaziasis,0050261,,[]
315,obsolete Acoelomata infectious disease,0050262,,[]
316,obsolete Pseudocoelomata infectious disease,0050263,,[]
317,obsolete Acanthocephala infectious disease,0050264,,[]
318,obsolete tick paralysis,0050265,,[]
319,tungiasis,0050266,,[]
320,obsolete Ancylostoma caninum ancylostomiasis,0050267,,[]
321,ophthalmomyiasis,0050268,0000970,[]
322,Trichomonas vaginalis trichomoniasis,0050269,0000002,['urogenital trichomonas']
323,Trichomonas tenax trichomoniasis,0050270,0000167,[]
324,obsolete cutaneous ascomycota mycosis,0050271,,[]
325,obsolete cutaneous basidiomycota mycosis,0050272,,[]
326,obsolete Neoscytalidium dimidiatum infectious disease,0050273,,[]
327,obsolete Scopulariopsis infectious disease,0050274,,[]
328,obsolete onychomycosis,0050275,,[]
329,obsolete subcutaneous ascomycota mycosis,0050276,,[]
330,obsolete subcutaneous fungi incertae sedis mycosis,0050277,,[]
331,basidiobolomycosis,0050278,,[]
332,conidiobolomycosis,0050279,,[]
333,obsolete superficial ascomycota mycosis,0050280,,[]
334,obsolete superficial basidiomycota mycosis,0050281,,[]
335,obsolete primary systemic ascomycota mycosis,0050282,,[]
336,obsolete Stachybotrys infectious disease,0050283,,[]
337,obsolete opportunistic ascomycota mycosis,0050284,,[]
338,obsolete opportunistic basidiomycota mycosis,0050285,,[]
339,obsolete opportunistic fungi incertae sedis mycosis,0050286,,[]
340,obsolete opportunistic microsporidia mycosis,0050287,,[]
341,penicilliosis,0050288,,[]
342,fusariosis,0050289,,[]
343,trichosporonosis,0050290,,[]
344,parasitic Ichthyosporea infectious disease,0050291,,[]
345,primary systemic mycosis,0050292,,[]
346,obsolete Scopulariopsis brevicaulis infectious disease,0050293,,[]
347,obsolete Scytalidium hyalinum infectious disease,0050294,,[]
348,obsolete cutaneous sporotrichosis,0050295,,['plaque sporotrichosis']
349,obsolete Asfarviridae infectious disease,0050296,,[]
350,obsolete primary Francisellaceae infectious disease,0050297,,[]
351,obsolete adenovirus infectious disease,0050298,,['adenoviridae infectious disease']
352,obsolete Simplexvirus infectious disease,0050299,,[]
353,obsolete Deltavirus infectious disease,0050300,,[]
354,obsolete Polyomaviridae infectious disease,0050301,,[]
355,obsolete Varicellovirus infectious disease,0050302,,[]
356,obsolete Hepacivirus infectious disease,0050303,,[]
357,aniseikonia,0050304,,[]
358,obsolete Arteriviridae infectious disease,0050305,,[]
359,obsolete familial abdominal aortic aneurysm,0050306,,[]
360,obsolete Bornaviridae infectious disease,0050307,,[]
361,Alkhurma hemorrhagic fever,0050308,,[]
362,obsolete Measles virus infectious disease,0050309,,[]
363,obsolete primary Listeriaceae infectious disease,0050310,,[]
364,obsolete primary Helicobacteraceae infectious disease,0050311,,[]
365,obsolete primary Campylobacteraceae infectious disease,0050312,,[]
366,obsolete primary Brucellaceae infectious disease,0050313,,[]
367,obsolete primary Erysipelotrichaceae infectious disease,0050314,,[]
368,obsolete commensal Clostridiaceae infectious disease,0050315,,[]
369,obsolete commensal Staphylococcaceae infectious disease,0050316,,[]
370,obsolete commensal Streptococcaceae infectious disease,0050317,,[]
371,obsolete primary Burkholderiaceae infectious disease,0050318,,[]
372,obsolete primary Legionellaceae infectious disease,0050319,,[]
373,obsolete commensal Alcaligenaceae infectious disease,0050320,,[]
374,obsolete opportunistic Pseudomonadaceae infectious disease,0050321,,[]
375,obsolete primary Vibrionaceae infectious disease,0050322,,[]
376,obsolete primary Coxiellaceae infectious disease,0050323,,[]
377,obsolete physical disorder OBSOLETED TERM,0050324,,[]
378,obsolete genetic disorder,0050325,,[]
379,obsolete peripheral dysostosis,0050327,,['peripheral dysostosis-nasal hypoplasia-mental retardation']
380,congenital hypothyroidism,0050328,,[]
381,obsolete mental disorder,0050329,,[]
382,LADD syndrome,0050331,,"['levy-hollister syndrome', 'lacrimoauriculodentodigital syndrome']"
383,enlarged vestibular aqueduct,0050332,0002279,[]
384,obsolete congenital anosmia,0050333,,[]
385,obsolete thiourea tasting,0050334,,"['phenylthiocarbamide tasting, included', 'propylthiouracil tasting, included']"
386,bradyopsia,0050335,,['prolonged electroretinal response suppression']
387,hypophosphatemia,0050336,,[]
388,obsolete Burkholderia cepacia infectious disease,0050337,,[]
389,primary bacterial infectious disease,0050338,,[]
390,commensal bacterial infectious disease,0050339,,[]
391,opportunistic bacterial infectious disease,0050340,,[]
392,obsolete opportunistic Actinomycetales infectious disease,0050341,,[]
393,obsolete commensal Actinomycetales infectious disease,0050342,,[]
394,obsolete Gardnerella vaginalis vaginosis,0050343,,[]
395,obsolete commensal Bifidobacteriaceae infectious disease,0050344,,[]
396,obsolete primary Thermomonosporaceae infectious disease,0050345,,[]
397,obsolete primary Corynebacteriaceae infectious disease,0050346,,[]
398,obsolete primary Mycobacteriaceae infectious disease,0050347,,[]
399,obsolete primary Streptomycetaceae infectious disease,0050348,,[]
400,obsolete opportunistic Nocardiaceae infectious disease,0050349,,[]
401,obsolete primary Clostridiaceae infectious disease,0050350,,[]
402,obsolete primary Clostridium infectious disease,0050351,,[]
403,foodborne botulism,0050352,,[]
404,wound botulism,0050353,,[]
405,infant botulism,0050354,,[]
406,obsolete opportunistic Burkholderiaceae infectious disease,0050355,,[]
407,obsolete Burkholderia cenocepacia infectious disease,0050357,,[]
408,obsolete commensal Chlamydiaceae infectious disease,0050358,,[]
409,obsolete Bilophila wadsworthia necrotizing fasciitis,0050359,,[]
410,obsolete commensal Enterobacteriaceae infectious disease,0050360,,[]
411,obsolete opportunistic Enterobacteriaceae infectious disease,0050361,,[]
412,obsolete Elizabethkingia meningoseptica infectious disease,0050362,,[]
413,obsolete Capnocytophaga canimorsus infectious disease,0050363,,[]
414,obsolete opportunistic Flavobacteriaceae infectious disease,0050364,,[]
415,obsolete Chryseobacterium indologenes infectious disease,0050365,,[]
416,obsolete Empedobacter brevis endophthalmitis,0050366,,[]
417,obsolete Myroides odoratus necrotizing fasciitis,0050367,,[]
418,obsolete commensal Fusobacteriaceae infectious disease,0050368,,[]
419,obsolete primary Mycoplasmataceae infectious disease,0050369,,[]
420,obsolete commensal Neisseriaceae infectious disease,0050370,,[]
421,obsolete commensal Pasteurellaceae infectious disease,0050371,,[]
422,obsolete commensal Haemophilus infectious disease,0050372,,[]
423,obsolete Leptospiraceae infectious disease,0050373,,[]
424,obsolete Spirochaetaceae infectious disease,0050374,,[]
425,obsolete primary Spirillaceae infectious disease,0050375,,[]
426,obsolete anaplasmosis,0050376,,[]
427,obsolete Burkholderia cepacia complex infectious disease,0050377,,[]
428,obsolete opportunistic Campylobacteraceae infectious disease,0050378,,[]
429,obsolete Campylobacter fetus infectious disease,0050379,,[]
430,obsolete Campylobacter coli infectious disease,0050380,,[]
431,obsolete Chlamydia trachomatis epididymitis,0050381,,[]
432,glandular tularemia,0050382,,[]
433,typhoidal tularemia,0050383,,[]
434,obsolete commensal Helicobacteraceae infectious disease,0050384,,[]
435,obsolete commensal Helicobacter infectious disease,0050385,,[]
436,obsolete Acinetobacter baumannii pneumonia,0050386,,[]
437,nonpapillary renal cell carcinoma,0050387,,[]
438,obsolete Bacteroides fragilis peritonitis,0050388,,[]
439,obsolete Capnocytophaga canimorsus meningitis,0050389,,[]
440,obsolete Capnocytophaga canimorsus endocarditis,0050390,,[]
441,obsolete Elizabethkingia meningoseptica meningitis,0050391,,[]
442,obsolete streptococcal necrotizing fasciitis,0050392,,[]
443,obsolete Chryseobacterium indologenes pneumonia,0050393,,[]
444,obsolete nocardial pneumonia,0050394,,[]
445,obsolete nocardial cellulitis,0050395,,[]
446,obsolete nocardial keratitis,0050396,,[]
447,obsolete cerebral Bilophila wadsworthia infectious disease,0050397,,[]
448,Carrion's disease,0050398,,"['carrion disease', 'oroya fever']"
449,obsolete Bordetella pertussis whooping cough,0050399,,[]
450,obsolete Pseudomonas urinary tract infectious disease,0050400,,[]
