,biomarker_ID,main_Xref,assesed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,gene
11,A0033,UPKB:P08727,Cytokeratin-19 fragment (KRT19),increased KRT19 level,diagnostic,urine (UN:0001088),,urinary bladder cancer (DOID:11054),protein,"In all studies considered, patients with bladder cancer had a higher CYFRA21-1 level than healthy subjects. Based on our results, CYFRA21-1 level may be a diagnostic biomarker for diagnosing bladder cancer as well as a possible biomarker for differentiation between local and metastatic bladder cancer. [PMID:25966163]",EDRN biomarker|CYFRA21-1 level can be detected in serum (UN:0001977) as well,KRT19
12,A0034,UPKB:P06731,Carcinoembryonic antigen (CEACAM5),decreased CEACAM5 level,prognostic,blood (UN:0000178),19166-8,breast cancer (DOID:1612),protein,"In those patients where marker levels of carcinoembryonic antigen decreased more than 33%, a significantly higher risk for relapse and death from disease (both P=0.0001) in univariate analyses was observed. In multivariate analysis this decrease of carcinoembryonic antigen proved to be an independent prognostic factor. [PMID:11953875]",Primary breast cancer,CEACAM5
13,A0034,UPKB:P06731,Carcinoembryonic antigen (CEACAM5),increased CEACAM5 level,diagnostic,blood (UN:0000178),19166-8,colorectal cancer (DOID:9256),protein,"In patients with colorectal cancer, CEA was most frequently elevated (54%), followed by CA 242 (46%), CA 19-9 (36%) and CA 72-4 (25%). [PMID:12174919]",,CEACAM5
14,A0034,UPKB:P06731,Carcinoembryonic antigen (CEACAM5),increased CEACAM5 level,prognostic,blood (UN:0000178),96044-3,ovarian cancer (DOID:2394),protein,Our results demonstrated that an elevated serum HE4 level was related to the advanced stage of epithelial ovarian cancer. An elevated serum level of HE4 is a poor prognostic factor for PFS in patients with epithelial ovarian cancer who were treated with debulking surgery and adjuvant taxane and platinum-based chemotherapy. [PMID:21683503],EDRN biomarker|Elevated serum HE4,CEACAM5
15,A0035,UPKB:Q8WXI7,Mucin-16 (MUC16),increased MUC16 level,predictive,uterus (UN:0000995),10334-1,uterine cancer (DOID:363),protein,"The median levels of CA-125 were 9 to 14 times higher for each parameter that demonstrated extrauterine metastasis (all with P < 0.001). Levels of CA-125 were significantly associated with positive cytology (P < 0.0001), omental disease (P < 0.0001), pelvic or para-aortic lymph node metastasis (P < 0.0001), and adnexal involvement (P < 0.0001). [PMID:29958235]",,MUC16
16,A0036,UPKB:P15941,Mucin-1 (MUC1),increased MUC1 level,prognostic,blood (UN:0000178),2007-3,breast cancer (DOID:1612),protein,"The results indicate an increased level of CA15-3 in breast cancer patients (29.02+/-1.79 IU/ml) as compared to both women with benign tumor and healthy controls (13.78+/-1.24 and 8.92+/-0.48 IU/ml, respectively), and that this increase is associated to advanced stages. Patients with HER2/neu positive malignancies show elevated serum CA15-3 (37.09+/-2.55 IU/ml), as well as patients who developed recurrence (40.75+/-2.11 IU/ml). Study suggests that higher levels of CA 15-3 would be a reliable prognostic marker as they were directly related to advanced stages and recurrence. In addition, persistent elevation of CA 15-3 was associated to HER2/neu positivity in breast cancer patients. [PMID:24674678]","Synomym: Cancer antigen 15-3, CA15-3",MUC1
17,A0040,UPKB:P01584,Interleukin-1 beta gene promoter polymorphism (IL1B),presence of,risk,stomach (UN:0000945),,stomach cancer (DOID:10534),gene,"Three genotypes - CT, TT, and CC - of IL-1B-31 were found in the Meizhou Hakka population. This risk was more apparent in male subjects. IL-1B-31 locus polymorphism may be associated with gastric cancer susceptibility in this population, but additional studies with larger sample size are needed to confirm the conclusions. [PMID:25117345]",Gene promoter region -31|UPKB:P01584,IL1B
18,A0043,UPKB:P09919,Granulocyte colony-stimulating factor (CSF3),increased CSF3 level,prognostic,blood (UN:0000178),54458-5,lung cancer (DOID:1324),protein,It was found that 12 patients had a white blood cell count increased beyond normal as well as a high G-CSF plasma level and the survival of these patients was shorter as compared to the rest of the patients. [PMID:21431281],Measured in plasma (UN:0001969) as well|Increased levels of G-CSF and white blood cells,CSF3
19,A0046,UPKB:P22301,Interleukin-10 (IL10),increased IL10 level,prognostic,blood (UN:0000178),26848-2,pancreatic cancer (DOID:1793),protein,"IL-6, IL-8, and IL-10 showed significant positive correlations with each other. Moreover, high levels of serum IL-6, IL-8, and IL-10 were independently strongly associated with poor survival of patients with pancreatic cancer. Patients with high IL-6, IL-8, or IL-10 expression (greater than median expression levels) exhibited a significantly shorter survival time, compared with patients with low expression (less than median expression levels) (p<0.001 for IL-6, p<0.01 for IL-8, and p<0.05 for IL-10) Univariate Cox analysis revealed that a high expression level of either IL-6, IL-8, or IL-10 was associated with poor survival (IL-6: HR = 0.204, 95% CI: 0.107–0.410, p<0.001; IL-8: HR = 0.303, 95% CI: 0.135–0.683, p<0.01; IL-10: HR = 0.336, 95% CI: 0.125–0.900, p<0.05). [PMID:30304975]",Measured in serum (UN:0001977) as well.,IL10
20,A0081,PCCID:5360545,Sodium (Na+),decreased Na+ level,prognostic,blood (UN:0000178),,esophageal cancer (DOID:5041),chemical element,"Lower levels of sodium can indicate poorer results of esophageal carcinoma, but higher survival benefits of adjuvant therapy. [PMID:33552948]",Also a predictive biomarker,Na+
21,A0086,UPKB:P09603,Macrophage colony-stimulating factor 1 (CSF1),increased CSF1 level,diagnostic,blood (UN:0000178),,breast cancer (DOID:1612),protein,"Macrophage-colony stimulating factor (M-CSF) regulates growth and differentiation of hematopoietic progenitor cells and functionally activates the maturation of macrophages. The M-CSF in breast cancer patients were investigated and compared with control groups. The medians of M-CSF, which was 464.28 pg/ml in its levels similarly to the level of the commonly accepted tumor marker, which is CA 15-3 at 25.00 U/ml in the total group of breast cancer patients were significantly higher when compared to the healthy subjects, which is 298.55 pg/ml (p < 0.001). In other words, the median levels of M-CSF in breast cancer total group were statistically higher than in benign breast tumor patients group (p = 0.0004). [PMID:23688065]",EDRN biomarker,CSF1
22,A0088,PCCID:5280352,Bilirubin (BIL),increased BIL level,prognostic,blood (UN:0000178),33898-8,ovarian cancer (DOID:2394),metabolite,"This study found that the increased level of serum bilirubin correlates with better prognosis in patients with EOC. In this study, patients with higher preoperative serum TBIL and IBL levels showed prolonged OS and PFS compared with those with lower preoperative TBIL and IBL levels. [PMID:32509218]",Measured in serum (UN:0001977) as well.,BIL
23,A0089,NCIt:C38462,Activated partial thromboplastin time (APTT),increased APTT,prognostic,blood (UN:0000178),3173-2,colorectal cancer (DOID:9256),protein|lipid,"This study also showed that APTT increased gradually in patients with CRC, which could cause decreases in blood coagulation function and render patients prone to colorectal bleeding. [PMID:32753955]",,APTT
24,A0090,NCIt:C62656,Prothrombin time (PT),increased PT,prognostic,blood (UN:0000178),5894-1,colorectal cancer (DOID:9256),protein,"The PT level in patients with advanced stage colorectal cancer was increased significantly compared with those in an early stage, which indicated that PT could be used as a marker for evaluating prognosis in patients with CRC. [PMID:32753955]",,PT
25,A0093,UPKB:O15123,Angiopoietin-2 gene polymorphism rs12674822 (ANGPT2),presence of,risk,blood (UN:0000178),,colorectal cancer (DOID:9256),gene,Genetic variants of the Angpt2 rs12674822 polymorphism appears to be correlated with the risk of CRC and PFS in CRC patients. [PMID:31929743],Measured in serum (UN:0001977) as well|UPKB:O15123,ANGPT2
26,A0097,UPKB:P09104,Neuron-specific enolase (ENO2),increased ENO2 level,prognostic,blood (UN:0000178),19193-2,lung cancer (DOID:1324),protein,"This is the first report with such a substantial evaluation of cancer biomarkers on a large patient population of COVID-19. Our data demonstrate that levels of serum HE4, CYFRA21-1, CEA, CA125, CA153, SCC, and NSE are positively associated with CRP, a crucial factor in correlation with the severity of the disease. We concluded that elevations of serum cancer biomarkers positively correlated with the pathological progressions of COVID-19, demonstrating diffuse and acute pathophysiological injuries in COVID-19. [PMID:32347972] Tumor marker serum levels were related to histological type and tumor extension, with ProGRP being the most sensitive marker in SCLC, CEA in adenocarcinomas and CYFRA 21-1 in squamous tumors. The most sensitive combinations of tumor markers were ProGRP and NSE in SCLC (88%), and CEA plus CYFRA in NSCLC (82%). In summary, ProGRP is the tumor marker of choice in SCLC and NSE is a complementary tumor marker in this histological type. [PMID:16033098] Tumor biomarkers, such as carcinoembryonic antigen (CEA), cytokeratin 19 fragment (CYFRA21-1), neuron-specific enolase (NSE), squamous cell carcinoma antigen (SCCA) and Pro-Gastrin Releasing Peptide (ProGRP), were elevated. [PMID:32504736]",Measured in serum (UN:0001977) as well.,ENO2
27,A0097,UPKB:P09104,Neuron-specific enolase (ENO2),increased ENO2 level,prognostic,blood (UN:0000178),19193-2,lung cancer (DOID:1324),protein,"Alteration of serum tumor markers cytokeratin 19 fragment, carcinoembryonic antigen and neuron-specific enolase is associated with particular tumor histology, smoking habit, more advanced disease and poor prognosis. The number of patients with elevated levels of cytokeratin 19 fragment and neuron-specific enolase was higher in more advanced disease than in early lung cancer (p=0.036 and p=0.036, respectively). Preoperative levels of cytokeratin 19 fragment (p=0.017 and p=0.016, respectively) and neuron-specific enolase (p=0.03 and p=0.006, respectively) were significantly associated with more advanced disease and tumor size, as well as tumor histology in non-small cell lung cancer (p=0.03 and p=0.016, respectively). [PMID:16062024]",,ENO2
28,A0098,PRO:PR_000050383,Progastrin releasing peptide (PROGRP),increased PROGRP level,prognostic,blood (UN:0000178),,lung cancer (DOID:1324),protein,"Tumor marker serum levels were related to histological type and tumor extension, with ProGRP being the most sensitive marker in SCLC. The most sensitive combinations of tumor markers were ProGRP and NSE in SCLC (88%), and CEA plus CYFRA in NSCLC (82%). In summary, ProGRP is the tumor marker of choice in SCLC and NSE is a complementary tumor marker in this histological type. [PMID:16033098] Tumor biomarkers, such as carcinoembryonic antigen (CEA), cytokeratin 19 fragment (CYFRA21-1), neuron-specific enolase (NSE), squamous cell carcinoma antigen (SCCA) and Pro-Gastrin Releasing Peptide (ProGRP), were elevated in cases than those in controls (pall<0.01. [PMID:32504736]",Measured in serum (UN:0001977) as well.,PROGRP
29,A0098,PRO:PR_000050383,Progastrin releasing peptide (PROGRP),increased PROGRP level,diagnostic,blood (UN:0000178),,lung cancer (DOID:1324),protein,"Plasma proGRP level could be a useful diagnostic and therapeutic monitoring biomarker for patients with SCLC and the initial level may help with SCLC tumor staging. At cutoff level of 63 pg/mL, proGRP shows 85.7% sensitivity, 90.2% specificity, 72.5% positive predictive value and 95.4% negative predictive value in patients with SCLC. Median proGRP level was higher in extensive disease (1,055.2 pg/mL) than limited disease (253.8 pg/mL, P=0.005). Median OS was significantly shorter in patients with extensive disease (6.0±0.7 months) than limited disease (12.7±4.5 months, P<0.01). [PMID:27747005]",,PROGRP
30,A0119,UPKB:P29965,CD40 ligand (CD40LG),increased CD40LG level,prognostic,blood (UN:0000178),,lung cancer (DOID:1324),protein,"Patients with lung cancer had median sCD40L levels higher than in control subjects (0.46 versus 0.13 ng/ml; P < 0.0001), although correlation with the stage of disease was not evident. Nonetheless, sCD40L levels were significantly higher in squamous cancer compared with adenocarcinoma (0.75 versus 0.27 ng/ml; P < 0.05). Moreover, median sCD40L levels were higher in stage IV compared with nonmetastatic squamous lung cancer (1.02 versus 0.61 ng/ml; P < 0.05). sCD40L levels significantly correlated with sP-selectin (P < 0.001), prothrombin fragment 1 + 2 (P < 0.001), or thrombin-antithrombin III complex (P < 0.05) in squamous lung cancer, but only sP-selectin (P = 0.011) was independently related to sCD40L. [PMID:14760083]",,CD40LG
31,A0119,UPKB:P29965,CD40 ligand (CD40LG),increased CD40LG level,prognostic,blood (UN:0000178),,pancreatic cancer (DOID:1793),protein,"Serum sCD40L levels were significantly higher in PDAC group compared with non-cancer groups in both training (p < 0.05) and validation (p < 0.05 datasets. Kaplan-Meier survival analysis demonstrated patients with high-serum sCD40L (> 35,000 ng/ml) had a poorer prognosis than those with low serum sCD40L (log-rank, p = 0.015). Serum sCD40L is correlated with immunosuppression and angiogenesis in PDAC carcinogenesis/progression, and is a promising diagnostic and prognostic biomarker for PDAC superior to CA19-9 and CEA. [PMID:24745825]",Prognostic and diagnostic biomarker for pancreatic ductal adenocarcinoma (DOID:3498),CD40LG
32,A0120,UPKB:P07204,Thrombomodulin (THBD),increased THBD level,prognostic,blood (UN:0000178),,liver cancer (DOID:3571),protein,"The preoperative plasma TM level of patients with HCC (10.2+/-5.7 ng/ml) was significantly higher than that of those patients with benign liver-occupying lesion (6.1+/-2.2 ng/ml) and that of normal controls (5.7+/-1.0 ng/ml), respectively (P<0.05). Plasma TM increases in patients with HCC and can be a biomarker of the formation of PVTT. [PMID:11570577]",,THBD
33,A0120,UPKB:P07204,Thrombomodulin (THBD),decreased THBD level,prognostic,blood (UN:0000178),,ovarian cancer (DOID:2394),gene,"The migratory ability of ovarian cancer cells was enhanced dramatically after TM silencing. TM overexpression in ovarian cells suppressed the proliferation and migration capability. Furthermore, we found that skov-3 cells treated with TM shRNA expressed high levels of fibronectin and vimentin and that the expression of these markers correlated positively with their migratory ability. Our results demonstrate that TM expression may regulate cell growth and migration in ovarian cancer cells. This finding suggests that TM may be a novel prognostic and therapeutic target for ovarian cancer. [PMID:23918310]",Silencing of TM expression,THBD
34,A0121,UPKB:P05305,Endothelin-1 (EDN1),increased EDN1 level,diagnostic,blood (UN:0000178),,head and neck cancer (DOID:11934),protein,"Serum big ET-1 levels may be useful as a diagnostic tool in OSCC and as an adjunct to OSCC staging. By comparing the mean of the big ET-1 concentrations of cases and controls, the independent t-test revealed significant higher big ET-1 concentration of OSCC cases when compared to controls (p<0.0001). [PMID:26537720]",,EDN1
35,A0122,NCIt:C156117,Cell-free DNA (CFDNA),increased CFDNA level,prognostic,blood (UN:0000178),75605-6,skin cancer (DOID:4159),DNA,"Baseline cfDNA concentration correlated with pre-treatment tumour burden (p = 0.52, P < 0.001). Baseline cfDNA levels correlated significantly with hazard of death and overall survival, and a cut off value of 89 pg/ul identified two distinct prognostic groups (HR = 2.22 for high cfDNA, P = 0.004). Patients with cfDNA 89 pg/ul had shorter OS (10.0 versus 22.7 months, P = 0.009; HR = 2.22 for high cfDNA, P = 0.004) In addition, the ratio between baseline cfDNA and tumour burden was prognostic (HR = 2.7 for cfDNA/tumour volume 8 pg/(l*cm3), P = 0.024). Plasma cfDNA level correlates to tumour volume and is a surrogate biomarker for tumour burden and a prognostic marker for survival in metastatic melanoma patients. [PMID:29175734]",,CFDNA
36,A0123,CHEBI:39026,Oxidized low-density lipoprotein (OXLDL),increased OXLDL level,risk,blood (UN:0000178),54238-1,colorectal cancer (DOID:9256),protein,"Higher levels of serum oxLDL may increase risk of colorectal cancer. Cases included both colon and rectal cancers. Risk for colon cancer only was increased with high serum oxLDL levels after adjusting for gender, age, study area, and potential confounders. [PMID:15533907]",,OXLDL
37,A0125,UPKB:P16860,N-terminal pro-brain natriuretic peptide (NPPB),increased NPPB level,risk,blood (UN:0000178),71425-3,lung cancer (DOID:1324),protein,"Among 35 patients with lung cancer, 26 (74%) had elevated NT-proBNP (>/= 125 pg/mL), versus 9 (26%) with NT-proBNP < 125 pg/mL (P < .0001). By multivariate analysis, the presence of lung cancer was an independent risk factor for a level of NT-proBNP >/= 125 pg/mL (odds ratio, 7; 95% CI, 2.9-17; P < .0001). In our study, patients with lung cancer were 7 times more likely to have elevated NT-proBNP (>/= 125 pg/mL). [PMID:20837460]",,NPPB
38,A0152,UPKB:P00533,Epidermal growth factor receptor gene mutation L858R (EGFR),presence of,diagnostic,lung (UN:0002048),13659-8,lung cancer (DOID:1324),gene,EGFR mutation-specific (E746-A750del and L858R) antibodies could be an additional tool distinguishing primary versus metastatic carcinomas in the lung. EGFR mutation-specific antibodies are negative in other tumors that overexpress wild-type EGFR protein. [PMID:23599147],EDRN biomarker|FDA approved for lung cancer|Alternate LOINC ID:14050-9|Epidermal growth factor receptor [Moles/mass] in tissue|UPKB:P00533,EGFR
39,A0449,UPKB:P00533,Epidermal growth factor receptor protein (EGFR),increased EGFR level,prognostic,breast (UN:0000310),13659-8,breast cancer (DOID:1612),protein,"The high expression of EGFR can be used to predict the severity of IBC, as well as the candidate biomarkers of metastasis, and it may also be associated with poor prognosis of IBC patients. [PMID:30431376]","EDRN biomarker|EGFR is also associated with various other cancers, most notably due to mutations that result in increased protein expression|Also a predictive biomarker|Increased expression of Epidermal growth factor receptor (EGFR)|Alternate LOINC ID:14050-9|Epidermal growth factor receptor [Moles/mass] in tissue",EGFR
40,A0449,UPKB:P00533,Epidermal growth factor receptor protein (EGFR),increased EGFR level,prognostic,stomach (UN:0000945),13659-8,stomach cancer (DOID:10534),protein,"One hundred and forty cases (27.4%) showed EGFR overexpression by IHC. EGFR overexpression was associated with older age (P = 0.001), moderately or poorly differentiated histology (P = 0.001) and higher stage disease (P = 0.046). [PMID:18397279]",FDA and EDRN biomarker|Overexpression of EGFR|Alternate LOINC ID:14050-9|Epidermal growth factor receptor [Moles/mass] in tissue,EGFR
41,A0153,UPKB:P00738,Haptoglobin (HP),increased HP level,diagnostic,blood (UN:0000178),4542-7,lung cancer (DOID:1324),protein,"HP may be a potential serological biomarker for lung adenocarcinoma diagnostics, especially in male subjects. We found that HP levels were significantly higher and APOA1 levels were significantly lower in lung cancer patients. However, after the participants were stratified by gender, the expression trends of HP and APOA1 in lung cancer patients existed only in men, which is gender specific phenomenon. HP, APOA1 and carcinoembryonic antigen (CEA), used for distinguishing lung adenocarcinoma, had a sensitivity of 64%, 64% and 79%, respectively. Area under the ROC curve (AUC) of HP, APOA1 and CEA were 0.768, 0.761 and 0.884, respectively. When restricted to male subjects, HP, APOA1 and CEA showed sensitivity of 89%, 73% and 100%, respectively. AUC of HP, APOA1 and CEA were 0.929, 0.840 and 0.877, respectively. [PMID:27648369]",Lung adenocarcinoma,HP
42,A0154,UPKB:Q13740,Activated leukocyte cell adhesion molecule (ALCAM),increased ALCAM level,prognostic,skin epidermis (UN:0001003),,skin cancer (DOID:4159),protein,"High ALCAM expression in primary melanoma cells (IRS >/=8) is strongly correlated with unfavorable prognosis as compared with patients with lower ALCAM immunoreactivity in tumor compartment as regards cancer specific overall survival (CSOS) (P = 0.001) and disease free survival (DFS) (P < 0.001). High ALCAM expression in melanoma cells of the primary tumor can be used as a marker of negative outcome and may indicate a more invasive phenotype of cancer cells, which would require a more intensive therapeutic strategy. [PMID:26134500]",Also associated with lymph node metastasis (UN:0000029)|High ALCAM expression,ALCAM
43,A0155,UPKB:Q9HCU9,Breast cancer metastasis suppressor 1 (BRMS1),decreased BRMS1 level,prognostic,skin epidermis (UN:0001003),,skin cancer (DOID:4159),protein,"BRMS1 expression was significantly correlated with disease-specific 5-year survival of melanoma patients (P=0.007, log-rank test). Multivariate Cox regression analysis revealed that BRMS1 staining was an independent prognostic factor for melanoma patients (relative risk=0.51; confidence interval=0.29-0.91; P=0.022). BRMS1 expression was significantly decreased in metastatic melanoma compared with primary melanoma or dysplastic nevi (P=0.021 and 0.001, respectively, chi(2) test). BRMS1 may serve an important prognostic marker and therapeutic target for melanoma patients. [PMID:20935672]",Specimen type also unspecified metastatic tissues|Also associated with several metastases|Breast tissue (UN:0000310)|ovary tissue (UN:0000992)|Decreased BRMS1 expression,BRMS1
44,A0157,UPKB:P24530,Endothelin receptor type B (EDNRB),decreased EDNRB level,prognostic,breast (UN:0000310),,breast cancer (DOID:1612),protein,"EDNRB expression was low in TNBC samples (P<0.01). In conclusion, EDNRB was associated with a favorable prognosis in patients with TNBC, and may be used as a novel prognostic biomarker. [PMID:32934717]",,EDNRB
45,A0158,UPKB:P43694,Transcription factor GATA-4 (GATA-4),decreased GATA-4 level,prognostic,breast (UN:0000310),,breast cancer (DOID:1612),protein,"GATA4 overexpression decreased viability, invasion, migration, and epithelial-to-mesenchymal transition of MB-231 and BT549 cells, and markedly induced cell cycle arrest and apoptosis. Our findings suggest that GATA4 is a potential prognostic biomarker and gene therapeutic target for human BrCa. [PMID:30187949]",GATA4 overexpression is implicated in some liver cancer tissue|Low expression of GATA4,GATA-4
46,A0158,UPKB:P43694,Transcription factor GATA-4 (GATA-4),increased GATA-4 level,prognostic,liver (UN:0002107),,liver cancer (DOID:3571),protein,"This GATA4/miR125b/DKK3 axis may be a major regulator of growth, migration, invasion, and survival in hepatoma cells, and is therefore a potential therapeutic target or biomarker for progression in HB patients. GATA4 expression and activity were high in liver tumors in children, but not in adults. [PMID:27788486]",Decreased GATA4 expression is implicated in some breast cancer tissue|Increased expression of GATA4,GATA-4
